city,month,year,mean_aqi,date
baltimore,11,2020,1.5,2020-11-01
houston,11,2020,1.13,2020-11-01
sydney,11,2020,1.38,2020-11-01
syracuse,11,2020,1.1,2020-11-01
baltimore,12,2020,1.53,2020-12-01
houston,12,2020,1.68,2020-12-01
sydney,12,2020,1.21,2020-12-01
syracuse,12,2020,1.21,2020-12-01
baltimore,1,2021,1.76,2021-01-01
houston,1,2021,1.61,2021-01-01
sydney,1,2021,1.3,2021-01-01
syracuse,1,2021,1.16,2021-01-01
baltimore,2,2021,1.65,2021-02-01
houston,2,2021,1.69,2021-02-01
sydney,2,2021,1.2,2021-02-01
syracuse,2,2021,1.43,2021-02-01
baltimore,3,2021,1.82,2021-03-01
houston,3,2021,1.67,2021-03-01
sydney,3,2021,1.17,2021-03-01
syracuse,3,2021,1.77,2021-03-01
baltimore,4,2021,1.68,2021-04-01
houston,4,2021,1.58,2021-04-01
sydney,4,2021,1.75,2021-04-01
syracuse,4,2021,1.48,2021-04-01
baltimore,5,2021,1.51,2021-05-01
houston,5,2021,1.43,2021-05-01
sydney,5,2021,1.58,2021-05-01
syracuse,5,2021,1.34,2021-05-01
baltimore,6,2021,1.59,2021-06-01
houston,6,2021,1.7,2021-06-01
sydney,6,2021,1.68,2021-06-01
syracuse,6,2021,1.33,2021-06-01
baltimore,7,2021,1.8,2021-07-01
houston,7,2021,1.46,2021-07-01
sydney,7,2021,1.47,2021-07-01
syracuse,7,2021,1.22,2021-07-01
baltimore,8,2021,2.12,2021-08-01
houston,8,2021,1.56,2021-08-01
sydney,8,2021,1.33,2021-08-01
syracuse,8,2021,1.29,2021-08-01
baltimore,9,2021,1.66,2021-09-01
houston,9,2021,1.92,2021-09-01
sydney,9,2021,1.38,2021-09-01
syracuse,9,2021,1.16,2021-09-01
baltimore,10,2021,1.63,2021-10-01
houston,10,2021,1.9,2021-10-01
sydney,10,2021,1.46,2021-10-01
syracuse,10,2021,1.26,2021-10-01
baltimore,11,2021,1.67,2021-11-01
houston,11,2021,1.74,2021-11-01
sydney,11,2021,1.22,2021-11-01
syracuse,11,2021,1.17,2021-11-01
baltimore,12,2021,1.56,2021-12-01
houston,12,2021,1.55,2021-12-01
sydney,12,2021,1.18,2021-12-01
syracuse,12,2021,1.14,2021-12-01
baltimore,1,2022,1.61,2022-01-01
houston,1,2022,1.73,2022-01-01
sydney,1,2022,1.15,2022-01-01
syracuse,1,2022,1.22,2022-01-01
baltimore,2,2022,1.62,2022-02-01
houston,2,2022,1.74,2022-02-01
sydney,2,2022,1.29,2022-02-01
syracuse,2,2022,1.41,2022-02-01
baltimore,3,2022,1.96,2022-03-01
houston,3,2022,1.96,2022-03-01
sydney,3,2022,1.27,2022-03-01
syracuse,3,2022,1.74,2022-03-01
baltimore,4,2022,1.63,2022-04-01
houston,4,2022,1.69,2022-04-01
sydney,4,2022,1.56,2022-04-01
syracuse,4,2022,1.45,2022-04-01
baltimore,5,2022,1.64,2022-05-01
houston,5,2022,1.57,2022-05-01
sydney,5,2022,1.76,2022-05-01
syracuse,5,2022,1.37,2022-05-01
baltimore,6,2022,1.85,2022-06-01
houston,6,2022,1.54,2022-06-01
sydney,6,2022,1.4,2022-06-01
syracuse,6,2022,1.29,2022-06-01
baltimore,7,2022,1.86,2022-07-01
houston,7,2022,1.22,2022-07-01
sydney,7,2022,1.41,2022-07-01
syracuse,7,2022,1.33,2022-07-01
baltimore,8,2022,1.85,2022-08-01
houston,8,2022,1.28,2022-08-01
sydney,8,2022,1.25,2022-08-01
syracuse,8,2022,1.27,2022-08-01
baltimore,9,2022,1.58,2022-09-01
houston,9,2022,2.24,2022-09-01
sydney,9,2022,1.36,2022-09-01
syracuse,9,2022,1.22,2022-09-01
baltimore,10,2022,1.49,2022-10-01
houston,10,2022,1.94,2022-10-01
sydney,10,2022,1.2,2022-10-01
syracuse,10,2022,1.32,2022-10-01
baltimore,11,2022,1.43,2022-11-01
houston,11,2022,1.47,2022-11-01
sydney,11,2022,1.23,2022-11-01
syracuse,11,2022,1.35,2022-11-01
baltimore,12,2022,1.63,2022-12-01
houston,12,2022,1.58,2022-12-01
sydney,12,2022,1.32,2022-12-01
syracuse,12,2022,1.28,2022-12-01
baltimore,1,2023,1.54,2023-01-01
houston,1,2023,1.65,2023-01-01
sydney,1,2023,1.26,2023-01-01
syracuse,1,2023,1.36,2023-01-01
baltimore,2,2023,1.99,2023-02-01
houston,2,2023,1.72,2023-02-01
sydney,2,2023,1.43,2023-02-01
syracuse,2,2023,1.85,2023-02-01
