dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
1660280400,1,323.77,0.14,26.05,15.38,5.13,5.72,6.52,0.4
1660284000,1,283.72,0.01,18.68,25.75,4.95,5.04,5.61,0.22
1660287600,1,250.34,0,14.05,33.62,5.9,4.63,5.12,0.12
1660291200,1,250.34,0,15.08,29.68,6.85,5.11,5.69,0.1
1660294800,1,253.68,0.01,16.62,25.39,6.79,5.7,6.35,0.11
1660298400,1,257.02,0.02,17.65,21.28,5.84,6.27,6.96,0.15
1660302000,1,267.03,0.08,19.36,16.09,4.89,6.86,7.66,0.23
1660305600,1,307.08,1.19,26.39,6.44,4.23,7.97,8.98,0.49
1660309200,1,377.18,9.95,29.47,3.26,3.93,9.39,10.65,0.8
1660312800,1,407.22,14.53,29.47,12.16,4.23,9.87,11.25,0.82
1660316400,1,363.83,7.93,27.76,32.54,4.95,8.72,10,0.66
1660320000,1,247,1.36,13.71,59.37,4.71,6.42,7.05,0.06
1660323600,1,220.3,0.96,9.25,79.39,4.83,5.88,6.36,0.02
1660327200,2,213.62,0.69,6.68,117.3,5.6,6.63,7.09,0
1660330800,3,223.64,0.5,5.83,157.36,7.03,8.83,9.3,0
1660334400,4,236.99,0.45,6.94,185.97,9.42,11.51,11.99,0
1660338000,4,243.66,0.44,8.23,183.11,10.37,12.07,12.51,0
1660341600,3,250.34,0.47,10.02,155.93,9.18,10.37,10.78,0.09
1660345200,3,250.34,0.5,12.68,130.18,8.7,9.03,9.44,0.16
1660348800,2,247,0.32,14.74,111.58,8.82,8.52,8.96,0.16
1660352400,2,243.66,0.06,18.16,90.12,9.89,8.18,8.72,0.25
1660356000,1,250.34,0,22.62,67.23,12.28,8.21,8.89,0.39
1660359600,1,257.02,0,28.1,49.35,13.95,8.73,9.5,0.44
1660363200,1,260.35,0,35.3,33.62,12.76,8.77,9.61,0.42
1660366800,1,253.68,0.02,38.39,23.25,9.89,8.03,8.9,0.35
1660370400,1,236.99,0.01,34.27,21.1,7.57,7.34,8.22,0.28
1660374000,1,223.64,0.01,29.13,21.99,6.02,7.14,8.05,0.25
1660377600,1,211.95,0,21.76,25.03,4.05,6.81,7.69,0.19
1660381200,1,200.27,0,13.54,28.61,2.56,6.43,7.13,0.15
1660384800,1,191.93,0,8.65,27.89,1.86,6.29,6.79,0.14
1660388400,1,190.26,0.01,7.97,22.89,1.8,6.15,6.58,0.16
1660392000,1,203.61,0.09,11.31,16.45,2.03,6.22,6.76,0.26
1660395600,1,226.97,0.81,14.22,16.81,2.41,6.77,7.44,0.34
1660399200,1,236.99,1.98,12.85,34.69,2.77,7.5,8.22,0.38
1660402800,1,233.65,1.45,9.85,67.23,3.37,8.47,9.17,0.34
1660406400,2,216.96,0.46,4.28,91.55,2.65,7.22,7.57,0
1660410000,2,220.3,0.33,3.34,95.84,2.41,7.38,7.67,0
1660413600,2,220.3,0.28,3,94.41,2.24,6.88,7.15,0.02
1660417200,2,213.62,0.27,3.04,85.12,2.18,4.93,5.14,0.14
1660420800,2,213.62,0.3,4.33,81.54,2.95,4.24,4.42,0.27
1660424400,2,220.3,0.33,6.68,85.12,4.05,4.37,4.53,0.37
1660428000,1,226.97,0.48,9.51,77.96,4.95,4.18,4.31,0.43
1660431600,1,230.31,0.47,11.31,45.78,4.89,3.3,3.43,0.49
1660435200,1,226.97,0.23,10.37,28.97,4.29,2.44,2.58,0.47
1660438800,1,220.3,0.03,10.2,26.46,4.77,2.03,2.28,0.46
1660442400,1,208.62,0.01,11.82,24.32,6.26,1.96,2.38,0.39
1660446000,1,201.94,0.02,13.54,22.17,6.91,2.14,2.69,0.31
1660449600,1,200.27,0.04,15.08,19.31,7.33,2.26,2.89,0.24
1660453200,1,198.6,0.04,15.42,17.17,7.27,2.43,3.06,0.21
1660456800,1,196.93,0.04,14.74,15.74,7.15,2.55,3.16,0.18
1660460400,1,196.93,0.05,14.57,13.41,6.97,2.7,3.27,0.14
1660464000,1,198.6,0.1,14.74,10.46,6.62,2.91,3.46,0.1
1660467600,1,196.93,0.14,14.74,8.94,6.44,3.13,3.68,0.09
1660471200,1,193.6,0.19,15.08,8.05,6.14,3.34,4.03,0.09
1660474800,1,195.26,0.32,15.42,7.15,5.78,3.49,4.37,0.13
1660478400,1,216.96,1.38,17.82,3.89,5.07,3.41,4.52,0.3
1660482000,1,260.35,5.42,19.88,1.08,4.71,3.24,4.57,0.53
1660485600,1,287.06,7.38,19.88,1.63,4.35,2.95,4.38,0.7
1660489200,1,267.03,3.38,18.34,5.81,3.87,2.52,3.72,0.78
1660492800,1,206.95,0.27,6.85,23.6,2.32,1.84,2.29,0.36
1660496400,1,191.93,0.25,4.63,30.76,2,2.23,2.49,0.25
1660500000,1,186.92,0.31,3.9,37.91,1.94,2.7,2.92,0.23
1660503600,1,181.91,0.3,3.21,42.56,1.65,2.7,2.91,0.2
1660507200,1,180.24,0.22,3.34,42.2,1.64,2.59,2.82,0.2
1660510800,1,181.91,0.18,3.73,40.77,1.77,2.48,2.72,0.25
1660514400,1,183.58,0.17,4.63,38.62,1.85,2.43,2.72,0.33
1660518000,1,185.25,0.15,5.65,36.12,1.86,2.4,2.79,0.39
1660521600,1,181.91,0.07,5.65,34.69,1.67,2.39,2.96,0.37
1660525200,1,185.25,0.01,6.77,32.54,2.03,2.62,3.6,0.44
1660528800,1,188.59,0,8.05,29.68,2.44,3.04,4.87,0.48
1660532400,1,191.93,0.01,8.91,28.25,2.59,3.6,6.56,0.46
1660536000,1,198.6,0.01,10.71,25.75,2.8,4.15,7.94,0.41
1660539600,1,203.61,0.02,12.34,22.35,2.92,4.45,8.5,0.33
1660543200,1,203.61,0.03,13.54,19.49,3.25,4.77,8.84,0.27
1660546800,1,203.61,0.06,14.22,16.09,3.22,5.2,9.37,0.23
1660550400,1,203.61,0.13,14.57,12.34,3.01,5.77,10.22,0.2
1660554000,1,201.94,0.22,14.57,9.66,3.07,6.5,11.5,0.19
1660557600,1,203.61,0.44,15.25,7.15,3.16,7.29,12.95,0.2
1660561200,1,216.96,1.23,17.31,4.02,3.37,8.24,14.35,0.25
1660564800,1,273.7,8.38,20.91,0.45,3.73,9.51,16.07,0.55
1660568400,2,380.52,25.7,22.28,0.78,4.53,10.97,17.82,0.89
1660572000,2,447.27,37.55,22.28,4.16,5.54,11.56,18.5,1.11
1660575600,2,420.57,28.61,26.39,14.48,7.27,11.35,18.42,1.09
1660579200,1,216.96,3.05,10.88,60.08,6.5,9.37,16.64,0
1660582800,2,200.27,1.19,6.43,82.97,5.66,8.45,14.85,0
1660586400,2,196.93,0.71,4.8,98.71,5.72,7.75,13.68,0
1660590000,2,193.6,0.52,4.03,107.29,5.25,6.53,11.77,0
1660593600,2,188.59,0.48,4.07,103,4.65,4.82,9.01,0.01
1660597200,2,183.58,0.49,4.5,94.41,4.35,3.54,7.02,0.1
1660600800,2,183.58,0.59,5.18,87.98,4.11,2.71,5.7,0.23
1660604400,2,186.92,0.72,5.83,82.25,3.93,2.33,5.16,0.33
1660608000,1,185.25,0.64,6.17,67.95,3.4,1.94,4.77,0.36
1660611600,1,191.93,0.21,9.17,48.64,3.78,1.81,4.73,0.48
1660615200,1,201.94,0,11.82,33.62,4.23,1.85,4.96,0.62
1660618800,1,206.95,0.02,13.02,25.39,3.99,1.94,5.17,0.71
1660622400,1,216.96,0.07,15.08,18.78,3.64,2.1,5.38,0.73
1660626000,1,223.64,0.13,15.77,13.77,2.95,2.17,5.46,0.64
1660629600,1,220.3,0.11,13.71,12.52,2.18,2.09,5.34,0.51
1660633200,1,208.62,0.08,10.97,13.23,2.47,2.13,5.38,0.39
1660636800,1,201.94,0.08,10.11,13.23,3.16,2.5,5.81,0.29
1660640400,1,198.6,0.09,10.45,12.34,3.37,2.93,6.43,0.23
1660644000,1,201.94,0.23,11.82,9.39,3.04,3.33,7.03,0.21
1660647600,1,216.96,1.29,14.91,3.71,2.59,3.73,7.61,0.28
1660651200,1,290.39,11.4,17.31,0.17,2.41,4.65,9.02,0.66
1660654800,1,440.6,35.32,17.82,0.22,2.68,6.14,11.22,1.22
1660658400,1,554.08,54.54,17.99,1.39,2.95,7.19,12.88,1.57
1660662000,1,554.08,49.17,22.28,5.45,3.73,7.25,13.37,1.63
1660665600,1,257.02,4.02,14.91,43.27,5.96,5.04,9.76,0.22
1660669200,1,226.97,1.27,8.23,78.68,4.35,4.37,8.19,0.19
1660672800,2,223.64,0.61,5.1,110.15,3.76,5.1,8.62,0.21
1660676400,2,216.96,0.45,3.98,118.73,3.16,5.46,8.68,0.22
1660680000,2,210.29,0.4,3.73,107.29,2.86,4.76,7.47,0.19
1660683600,2,203.61,0.37,3.77,94.41,2.89,4.33,6.68,0.13
1660687200,1,201.94,0.4,4.58,78.68,2.68,4.19,6.19,0.1
1660690800,1,200.27,0.37,6,61.51,2.26,4.51,6.41,0.08
1660694400,1,196.93,0.14,6.34,48.64,1.8,5.11,7.18,0.04
1660698000,1,205.28,0.03,8.57,40.77,2.21,6.15,9.03,0.13
1660701600,1,213.62,0,10.54,33.97,2.44,7.21,11,0.31
1660705200,1,216.96,0.01,11.31,28.61,2.21,7.34,11.42,0.48
1660708800,1,216.96,0.02,11.65,23.6,2.29,6.92,11,0.55
1660712400,1,211.95,0.03,10.62,20.56,2.62,6.17,10.09,0.49
1660716000,1,203.61,0.03,9.6,19.31,3.64,5.49,9.29,0.44
1660719600,1,198.6,0.02,8.91,18.95,4.29,5.15,8.93,0.37
1660723200,1,196.93,0.03,8.4,18.06,4.11,5.04,8.84,0.32
1660726800,1,196.93,0.04,8.48,16.99,3.73,5.07,8.84,0.3
1660730400,1,201.94,0.12,9.85,13.41,2.98,5.26,9.07,0.27
1660734000,1,220.3,0.71,13.71,6.88,2.35,5.65,9.6,0.32
1660737600,1,300.41,9.28,19.19,0.6,2.26,6.7,11.17,0.78
1660741200,1,453.95,32.19,21.59,0.24,2.5,8.37,13.58,1.44
1660744800,1,534.06,42.92,22.28,1.88,2.89,9.17,14.84,1.5
1660748400,1,440.6,26.15,22.28,10.1,3.61,8.4,14.16,1.35
1660752000,1,240.33,2.74,10.37,38.98,2.89,5.73,10.18,0.53
1660755600,1,216.96,1.2,7.2,59.37,2.5,5.13,8.98,0.48
1660759200,2,213.62,0.7,5.83,80.11,2.5,5.17,8.75,0.52
1660762800,2,201.94,0.53,5.06,82.97,2.21,4.32,7.2,0.5
1660766400,2,196.93,0.54,4.63,87.98,2.09,3.86,6.26,0.51
1660770000,2,200.27,0.57,4.88,108.72,3.43,4.55,6.99,0.48
1660773600,3,205.28,0.63,6,124.45,6.74,5.79,8.36,0.39
1660777200,2,203.61,0.7,7.45,103,9.18,5.46,7.56,0.37
1660780800,1,191.93,0.71,8.57,57.94,8.11,4.38,5.89,0.39
1660784400,1,188.59,0.22,10.97,30.4,6.97,3.67,5.39,0.46
1660788000,1,190.26,0.01,11.82,23.25,6.32,3.44,5.4,0.56
1660791600,1,191.93,0.03,11.65,20.56,5.84,3.79,6.04,0.55
1660795200,1,193.6,0.04,11.82,18.95,5.54,4.27,7.27,0.47
1660798800,1,190.26,0.03,11.14,19.13,5.48,4.53,8.64,0.38
1660802400,1,185.25,0.02,10.2,19.67,5.48,4.72,9.73,0.32
1660806000,1,178.58,0.02,9,20.03,4.83,4.77,9.7,0.29
1660809600,1,175.24,0.02,8.23,19.67,4.17,4.74,9,0.3
1660813200,1,176.91,0.02,8.14,19.13,3.81,4.69,8.15,0.32
1660816800,1,178.58,0.03,8.4,18.6,3.64,4.44,7.27,0.34
1660820400,1,183.58,0.04,8.91,18.24,3.34,4.05,6.49,0.39
1660824000,1,200.27,0.15,12.17,15.74,2.98,3.81,6.15,0.51
1660827600,1,230.31,1.06,17.14,11.44,2.89,4.04,6.53,0.72
1660831200,1,247,3.86,14.74,15.2,2.98,4.48,7.11,0.89
